State,Area Name,"Less Than A High School Diploma, 2017-21","High School Diploma Only, 2017-21","Some College Or Associate'S Degree, 2017-21","Bachelor'S Degree Or Higher, 2017-21","Percent Of Adults With Less Than A High School Diploma, 2017-21","Percent Of Adults With A High School Diploma Only, 2017-21","Percent Of Adults Completing Some College Or Associate'S Degree, 2017-21","Percent Of Adults With A Bachelor'S Degree Or Higher, 2017-21",Estimate Of People Of All Ages In Poverty 2020,Estimated Percent Of People Of All Ages In Poverty 2020,Employed_2020,Unemployed_2020,Unemployment_Rate_2020,Median_Household_Income_2020,"County Household Median Income As A Percent Of The State Total Median Household Income, 2020"
CA,Lake County,6548.0,14601.0,19142.0,8557.0,13.40484769079594,29.89068129708484,39.18686537831641,17.51760563380282,10131.0,15.9,25614.0,2797.0,9.8,52345.0,63.06550523487668
CA,Lassen County,4853.0,7891.0,8716.0,2863.0,19.95230851457468,32.44254409406734,35.83439542819553,11.77075196316244,3555.0,15.5,8694.0,699.0,7.4,63803.0,76.87015819086517
CA,Los Angeles County,1381447.0,1411475.0,1772567.0,2356572.0,19.9571630472485,20.39096448297697,25.60750331440304,34.0443691553715,1289368.0,13.2,4355926.0,612986.0,12.3,75624.0,91.11215527523765
CA,Madera County,27789.0,22929.0,31711.0,16144.0,28.19128970407718,23.26093352134966,32.17006685400668,16.37770992056648,21211.0,14.1,54920.0,6932.0,11.2,68744.0,82.82309851688534
CA,Marin County,12672.0,19589.0,44532.0,115907.0,6.576024909185262,10.16554229372081,23.10949662688116,60.14893617021276,15119.0,6.0,121476.0,8938.0,6.9,127601.0,153.7342923579234
CA,Mariposa County,1233.0,3028.0,5351.0,3901.0,9.124546732775846,22.40805150595723,39.59890475838082,28.86849700288611,2258.0,13.3,6385.0,806.0,11.2,56887.0,68.53772846110287
CA,Mendocino County,8704.0,17147.0,23338.0,15962.0,13.35973354207917,26.31885926539884,35.8213995180427,24.50000767447929,12099.0,14.3,33698.0,3401.0,9.2,53176.0,64.06669799159046
CA,Merced County,49054.0,43880.0,49268.0,23259.0,29.64686542448069,26.5198445555146,29.77620103831115,14.05708898169357,44302.0,16.3,100761.0,14571.0,12.6,58998.0,71.08107131239383
CA,Modoc County,955.0,2136.0,2180.0,1293.0,14.54905545399147,32.54113345521024,33.2114564290067,19.69835466179159,1529.0,17.9,2893.0,281.0,8.9,46838.0,56.430645413910675
CA,Mono County,1214.0,2124.0,3355.0,2804.0,12.78298410024218,22.3649573549542,35.32694535116352,29.5251131936401,1285.0,9.0,6917.0,958.0,12.2,73204.0,88.19652775267768
CA,Monterey County,75771.0,56912.0,73530.0,74311.0,27.01052316379347,20.28774721592448,26.21166103435,26.49006858593204,47870.0,11.6,189830.0,24007.0,11.2,85031.0,102.44575366561848
CA,Napa County,14541.0,17698.0,29842.0,36464.0,14.75569536759856,17.95930793038713,30.28261200466792,37.00238469734639,10356.0,7.9,62575.0,6202.0,9.0,92149.0,111.02155395718123
CA,Nevada County,3827.0,14963.0,29399.0,30391.0,4.870195978620514,19.04174090099262,37.41282769152456,38.6752354288623,9040.0,9.2,42871.0,3826.0,8.2,74158.0,89.34591149504223
CA,Orange County,294180.0,378888.0,598758.0,925364.0,13.38891948352214,17.24420737396402,27.25107978827502,42.11579335423882,280128.0,9.0,1420678.0,140784.0,9.0,98786.0,119.01784315851616
CA,Placer County,14584.0,49539.0,100475.0,117251.0,5.174401896050722,17.57643277073894,35.6485210165727,41.60064431663763,25815.0,6.5,172621.0,14043.0,7.5,100662.0,121.27805689088082
CA,Plumas County,820.0,4108.0,6655.0,3464.0,5.449591280653951,27.30112314747126,44.22808533262445,23.02120023925035,2509.0,13.5,6768.0,847.0,11.1,58489.0,70.46782568884711
CA,Riverside County,267525.0,423504.0,511637.0,370132.0,17.00949517992775,26.92678907272262,32.53036944350133,23.5333463038483,275176.0,11.2,1003553.0,113705.0,10.2,76409.0,92.05792701292755
CA,Sacramento County,127455.0,235075.0,363694.0,341705.0,11.93478218121242,22.01223115019819,34.05600934144498,31.99697732714441,192386.0,12.5,641956.0,67757.0,9.5,72953.0,87.8941217575692
CA,San Benito County,6901.0,11037.0,14805.0,8460.0,16.74878042860957,26.78688445016139,35.9318496226003,20.53248549862874,5025.0,7.9,29251.0,3242.0,10.0,91185.0,109.8601221672028
CA,San Bernardino County,260315.0,370115.0,445345.0,301891.0,18.89536360772495,26.86536504493832,32.3260500005081,21.91322134682862,308021.0,14.3,876969.0,94415.0,9.7,65984.0,79.4978373754533
CA,San Diego County,263063.0,409660.0,672143.0,906455.0,11.68482859618864,18.19642778617532,29.85549373012556,40.26324988751049,306807.0,9.5,1395730.0,146249.0,9.5,87126.0,104.96981964072722
CA,San Francisco County,77300.0,78359.0,123258.0,410052.0,11.21966300370554,11.37337093541219,17.89020986430449,59.51675619657778,85356.0,10.0,513363.0,44742.0,8.0,121722.0,146.6512451657209
CA,San Joaquin County,96216.0,140468.0,156626.0,95083.0,19.70052805834646,28.76126398208,32.06966520814181,19.46854275143174,104295.0,13.9,295559.0,38733.0,11.6,70685.0,85.16162455874026
CA,San Luis Obispo County,15354.0,37215.0,67834.0,69920.0,8.067338156712536,19.55360098359105,35.64151468818797,36.73754617150843,28338.0,10.6,123379.0,10542.0,7.9,79455.0,95.72776231611667
CA,San Mateo County,50652.0,82159.0,129495.0,289401.0,9.180960183575703,14.89178132595744,23.47169783961414,52.45556065085272,41158.0,5.5,407241.0,30594.0,7.0,132369.0,159.47880146022337
CA,Santa Barbara County,50274.0,47957.0,82013.0,97636.0,18.09198215056859,17.25816899381028,29.51381891463941,35.13602994098171,44777.0,10.5,200213.0,17909.0,8.2,86136.0,103.77706292695268
CA,Santa Clara County,145904.0,184860.0,284658.0,733950.0,10.81273362719843,13.69970623371464,21.09559113424615,54.39196900484077,123516.0,6.6,948273.0,73526.0,7.2,139462.0,168.02448163275142
CA,Santa Cruz County,21102.0,28627.0,54858.0,75398.0,11.7243103591966,15.90521432341584,30.47920660055005,41.89126871683752,27524.0,10.7,121436.0,13175.0,9.8,93015.0,112.0649148805436
CA,Shasta County,11492.0,33218.0,54858.0,29041.0,8.935611038107753,25.82867450955998,42.65486863283285,22.58084581949941,24570.0,13.9,66563.0,6566.0,9.0,59108.0,71.21359983614656
CA,Sierra County,130.0,681.0,981.0,515.0,5.635023840485479,29.51885565669701,42.52275682704811,22.3233636757694,331.0,11.5,1176.0,107.0,8.3,59422.0,71.59190853122251
CA,Siskiyou County,3250.0,8724.0,13316.0,6933.0,10.08596344226174,27.07382925239736,41.32451975297148,21.51568755236942,6086.0,14.3,15228.0,1710.0,10.1,49441.0,59.56675220780473
CA,Solano County,34837.0,74274.0,116367.0,86981.0,11.14930278852585,23.77079872879322,37.24232619319655,27.83757228948438,40283.0,9.3,181675.0,19843.0,9.8,83678.0,100.81565282345997
